zipcode,total_population
60629,113916
79936,111086
11368,109931
00926,108862
90650,105549
90011,103892
91331,103689
11226,101572
90201,101279
11373,100820
11220,99598
11385,98592
10467,97060
92335,95397
77084,95137
10025,94600
11208,94469
90280,94396
77449,94382
11236,93877
78521,93818
90805,93524
11207,93386
90250,93193
08701,92843
11219,92221
60623,92108
60618,92084
91342,91725
60632,91326
60639,90407
11211,90117
11377,89830
90044,89779
92683,89747
00725,89374
75052,88996
11214,88630
92336,88419
92704,88123
11234,87757
60647,87291
10456,86547
11230,86408
92804,85914
11355,85871
10314,85510
91744,85040
94565,84641
60804,84573
92503,84519
11212,84500
60617,84155
91911,82999
60608,82739
93033,82728
93307,82658
95076,82474
00949,82278
11206,81677
92376,81516
10002,81410
91710,80358
75217,80324
30043,80241
11229,80018
92154,79708
30044,79701
10458,79492
94112,79407
00956,79304
11235,79132
11221,78895
11223,78731
92345,78715
60625,78651
37013,78406
10453,78309
11204,78134
79912,77161
87121,76721
90706,76615
60505,76573
91706,76571
93722,76448
11203,76174
10468,76103
10029,76003
91910,75802
10462,75784
10452,75371
78572,75221
11218,75220
92509,75196
90255,75066
93257,75004
93550,74929
85364,74904
91709,74796
37211,74755
75070,74734
77479,74514
66062,74411
91335,74363
60634,74298
95823,73985
92553,73722
92126,73343
75211,73146
22193,73047
94544,73026
00953,73014
75034,72723
93065,72508
92592,72492
23464,72359
96797,72289
77429,72264
33012,72248
60620,72216
60628,72202
95630,72180
93535,72046
77036,71969
77450,71889
93727,71820
60085,71714
60641,71663
91766,71599
77573,71580
28269,71048
89110,70994
93536,70918
78577,70840
77083,70837
63376,70828
77379,70544
10457,70496
92805,70401
77584,70228
89108,70123
91402,69817
07055,69816
92105,69813
85225,69810
21234,69752
90262,69745
93274,69721
45011,69677
80013,69588
94587,69516
94110,69333
94533,69277
11209,68853
94536,68790
78660,68789
11375,68733
84118,68295
99301,68191
19120,68104
10463,67970
92882,67917
90026,67869
10466,67813
90631,67619
30349,67602
90022,67179
33186,67137
11746,67094
11233,67053
00612,67010
47906,66972
97007,66954
95035,66943
91730,66925
37042,66916
94558,66830
29483,66731
19124,66691
11372,66636
10469,66631
60614,66617
75228,66551
07087,66515
77095,66502
10472,66358
90003,66266
30281,66140
60657,65996
60640,65790
27610,65648
85032,65485
92703,65445
92114,65433
93230,65264
33411,65245
00976,65136
78613,65099
95687,65096
92021,65068
95206,65004
60609,64906
19143,64849
20906,64696
30024,64614
93306,64587
78046,64548
90019,64458
30022,64359
60651,64267
44035,64263
89121,64096
94080,63975
33024,63916
14850,63886
85308,63876
78596,63844
78666,63836
60619,63825
33311,63786
11213,63767
08753,63678
00987,63661
33023,63576
33015,63544
11215,63488
60402,63448
06902,63406
10701,63393
92677,63297
78542,63293
33157,63226
75002,63140
48180,63131
19111,63090
97006,63036
07002,63031
90660,62928
96706,62730
90640,62549
11706,62543
84015,62494
20878,62446
94509,62439
80015,62432
90042,62430
90037,62276
30096,62265
95123,62228
90004,62180
30062,62136
91770,62097
92562,62079
92801,62068
44256,62039
11210,62008
95624,61989
17603,61973
23462,61973
30135,61912
21740,61859
92201,61827
94541,61635
87114,61623
77494,61600
92627,61510
34953,61494
91732,61386
76063,61361
10009,61347
95127,61325
80219,61296
78501,61219
94538,61148
48197,61132
93905,61087
00693,61038
02301,61025
10023,60998
75067,60982
53215,60953
94015,60927
85204,60885
07093,60884
11432,60809
07047,60773
11717,60745
95014,60717
19134,60675
46307,60619
89031,60589
21122,60576
23322,60473
10128,60453
06010,60448
95758,60435
76244,60388
30127,60347
91950,60322
23454,60283
91343,60254
94501,60212
44060,60211
21215,60161
85301,60161
07305,60104
11691,60035
60073,60002
94806,59861
76028,59744
10027,59707
91702,59705
60016,59690
28277,59664
90731,59662
30047,59660
43055,59605
43130,59570
78130,59546
02148,59503
92707,59492
15601,59483
93906,59461
30052,59451
95608,59418
78520,59408
75040,59406
93030,59372
23452,59321
10312,59304
10024,59283
37075,59256
19720,59250
90006,59185
92630,59182
11434,59129
32210,59080
79924,59058
10977,59048
33025,59039
97701,58993
90813,58911
78228,58811
89115,58794
92880,58763
75150,58730
92115,58560
20011,58536
10473,58519
95111,58466
98052,58442
43123,58424
93309,58409
00727,58382
91977,58368
95355,58311
92404,58271
97229,58217
00680,58140
60411,58136
75043,58094
87120,58023
92507,58002
02155,57964
90034,57964
32828,57881
95828,57862
45601,57842
92020,57767
30906,57748
92780,57741
87105,57680
33027,57663
22191,57598
74012,57526
85705,57521
73099,57492
32244,57369
20874,57367
95020,57349
85281,57348
10032,57331
10460,57311
90745,57251
92647,57245
90001,57110
46227,57086
78574,57071
91761,56913
60453,56855
11225,56829
93312,56741
00924,56691
92407,56689
95122,56545
77072,56526
78245,56511
92324,56505
44077,56491
87111,56490
27406,56458
10031,56438
11550,56435
84404,56363
32765,56349
70072,56344
91605,56343
89123,56300
77459,56274
02360,56271
63021,56261
07728,56257
85345,56208
77840,56171
33165,56149
85008,56145
92113,56066
75149,56065
33313,56039
10003,56024
94122,56023
92708,56004
43081,55991
22003,55990
94109,55984
08854,55961
95112,55927
10306,55909
78586,55878
91762,55857
66061,55805
40475,55803
21222,55786
27858,55781
90063,55758
76010,55706
93215,55659
42101,55648
43701,55643
78745,55614
06516,55564
78207,55514
19020,55493
28027,55435
93458,55431
89117,55416
75243,55406
31907,55332
90066,55277
92646,55224
08901,55223
60056,55219
85706,55209
19446,55138
79907,55132
80134,55075
22030,55066
00745,55062
02169,55055
33647,55034
75227,55029
60638,55026
19149,55006
28655,54996
45840,54979
22407,54962
65807,54952
85041,54947
92346,54923
76137,54911
78250,54903
11354,54878
92392,54858
43302,54790
07470,54717
78045,54713
00603,54689
30040,54653
96817,54628
20904,54612
77373,54609
94513,54605
28314,54520
38401,54469
12550,54447
85710,54439
08527,54392
30101,54373
93063,54366
20019,54358
95051,54327
11216,54316
94087,54293
96744,54247
10016,54183
19140,54133
96789,54129
90723,54099
92057,54096
30331,54094
60630,54093
20147,54086
91764,54086
92840,54083
43026,54017
93436,54017
91745,54013
07111,53942
89030,53928
10033,53926
92701,53908
92563,53892
92027,53881
90744,53815
11758,53804
29732,53781
21117,53778
92504,53778
72401,53767
33463,53766
00729,53750
33414,53718
33161,53710
90221,53704
92570,53697
11435,53687
21061,53684
73160,53666
28215,53629
77015,53621
12180,53606
30721,53601
06511,53600
29445,53588
77346,53578
14221,53555
79938,53520
97301,53518
32218,53473
75061,53442
92071,53422
00791,53417
22192,53394
30093,53351
24060,53311
65203,53307
45140,53267
93117,53217
33175,53206
33177,53191
78550,53152
08861,53099
27587,53078
84119,53077
48103,53057
07083,53053
94591,53042
78852,53040
85033,53037
30004,53033
32822,53029
32825,53024
60506,53013
30263,53008
95670,52973
33064,52969
30058,52945
30066,52936
78664,52932
27834,52914
60440,52911
98682,52893
61761,52879
80634,52861
93291,52849
45044,52822
30041,52749
91801,52735
55106,52730
63129,52718
33125,52677
07306,52669
45013,52613
33142,52606
92399,52606
30075,52573
60622,52548
85009,52520
92571,52516
32225,52485
17602,52452
93308,52447
19382,52388
27410,52388
30188,52380
20002,52370
29730,52365
19320,52342
48044,52289
30144,52252
44107,52244
99654,52168
77077,52151
28078,52133
48228,52130
37130,52070
92870,52033
83301,52010
33511,52003
95125,51939
33065,51921
55901,51917
19702,51899
95747,51870
34711,51847
43068,51836
92056,51835
19104,51808
02151,51808
98208,51802
23320,51797
92833,51767
23456,51748
91344,51747
85326,51705
75007,51624
91406,51558
92129,51536
00736,51532
67401,51499
95116,51496
60148,51468
22554,51463
87124,51404
97045,51359
19067,51334
92117,51332
19711,51322
48823,51302
89129,51252
90002,51223
32837,51219
91786,51165
43230,51161
92234,51151
91405,51145
30016,51140
98012,51136
27284,51136
11201,51128
70065,51116
78240,51111
95350,51046
33063,51019
10011,50984
60120,50955
31419,50954
01960,50944
85122,50942
75025,50926
30907,50913
21206,50846
32068,50815
93551,50798
96734,50746
43228,50737
20744,50722
14094,50666
44130,50639
78223,50637
45040,50627
93277,50607
78681,50606
08081,50589
14580,50587
96818,50586
70726,50583
60004,50582
84095,50566
00959,50560
77433,50539
89103,50519
10461,50502
07104,50478
93003,50474
30083,50384
28110,50365
97402,50342
92557,50320
94601,50294
17331,50292
32839,50279
36117,50268
91304,50231
72764,50230
92530,50216
33176,50170
31088,50163
85713,50151
29223,50141
60626,50139
83709,50034
94539,50031
28601,50026
48858,50025
85234,50014
07030,50005
92025,49978
41042,49968
60643,49952
78249,49951
45424,49930
08873,49921
77498,49906
30080,49905
77082,49900
11237,49896
20020,49864
95376,49859
23666,49825
33068,49824
73505,49809
38305,49808
21218,49796
17601,49779
18102,49779
89147,49778
30114,49774
30318,49736
19148,49732
59901,49693
77088,49660
28227,49635
20854,49611
80229,49598
40601,49566
29072,49566
35242,49545
79928,49544
19380,49534
77521,49507
60637,49503
96819,49492
06810,49482
32771,49481
89119,49445
78251,49435
75216,49416
92410,49410
90703,49399
33458,49396
30253,49380
96816,49368
33312,49343
92626,49341
15301,49331
90220,49328
37167,49322
90018,49310
63123,49308
78753,49301
54601,49282
11238,49262
28540,49252
48439,49209
98632,49205
99208,49193
78247,49176
28025,49160
48187,49148
84604,49145
21224,49134
92024,49121
37129,49103
55124,49084
93638,49068
45069,49060
92656,49046
02780,49036
37027,49035
84043,49030
33033,49028
90638,49012
75287,49004
84120,48956
92130,48940
77845,48938
53511,48929
92026,48922
60435,48899
75115,48877
85142,48870
90033,48852
20902,48841
95023,48841
33467,48808
32246,48789
99336,48753
00795,48736
93304,48731
78504,48703
77089,48685
85282,48671
60644,48648
38017,48642
93702,48607
90047,48606
80631,48603
90046,48581
63136,48560
46143,48555
60014,48550
96792,48519
63301,48514
60616,48433
80525,48419
10940,48418
76133,48394
97124,48349
60613,48281
63031,48212
75098,48197
42701,48194
78840,48149
21207,48133
37064,48118
43015,48107
91767,48068
76179,48058
92243,48030
90630,47993
20009,47992
95207,47965
23455,47938
92064,47904
77081,47860
75056,47852
91352,47807
02124,47783
28645,47703
23223,47677
92505,47672
23434,47670
92084,47654
06457,47648
77546,47636
11224,47621
48185,47618
97206,47596
90016,47596
92691,47582
21228,47577
75035,47553
32174,47552
44646,47525
98023,47510
92128,47490
90247,47487
85035,47486
47150,47472
48126,47465
80011,47461
90024,47452
60123,47405
48066,47388
32303,47359
95648,47354
07003,47312
10459,47308
58103,47302
19145,47261
01844,47249
22204,47233
10950,47226
01841,47225
92692,47222
30032,47222
55044,47218
89052,47214
11419,47211
28216,47208
75093,47187
95240,47172
85374,47146
08540,47115
83646,47098
89074,47095
77099,47091
95124,47082
94553,47065
27603,47033
95616,47032
94014,47014
19335,46984
07105,46983
23112,46982
29681,46979
27107,46963
35215,46951
33147,46933
48219,46931
77093,46929
53209,46917
32792,46914
94550,46896
80504,46876
47374,46875
08302,46872
80020,46871
33126,46867
92037,46781
76116,46746
92879,46745
97223,46699
27265,46690
80012,46665
27713,46660
60649,46650
77511,46627
38109,46594
92886,46564
59102,46564
85365,46558
65202,46547
20176,46506
01201,46504
37122,46463
95351,46458
91765,46457
33614,46449
30236,46434
85022,46395
95060,46377
60126,46371
23185,46370
92069,46369
75006,46364
55303,46352
43229,46347
20850,46340
32808,46334
56001,46327
98902,46322
76051,46320
08816,46298
87401,46293
27705,46282
60115,46272
60586,46251
27407,46242
92028,46239
06606,46236
37421,46228
83686,46224
32703,46207
98115,46206
33010,46187
07052,46182
63366,46175
98225,46172
96720,46165
32304,46145
33018,46117
85201,46092
27360,46084
34787,46083
78227,46077
30064,46076
89101,46055
33193,46044
29720,46041
77070,46017
94568,46016
75060,45980
55304,45967
38654,45956
33021,45921
98103,45911
90023,45903
98270,45899
87507,45890
20171,45887
77064,45847
32608,45842
63303,45834
85254,45801
19464,45788
92109,45787
90032,45786
11590,45768
45238,45760
53711,45728
89122,45720
10451,45713
11757,45700
94086,45697
00957,45680
08831,45620
93611,45614
95037,45579
94577,45560
08053,45538
95148,45528
90065,45527
80918,45467
94303,45467
75023,45452
00778,45429
91748,45406
80233,45386
48227,45380
75104,45373
33016,45342
78155,45341
18103,45336
92648,45317
39503,45309
78201,45307
40214,45291
15642,45286
77080,45275
60645,45274
95008,45260
38127,45248
06492,45241
33029,45235
92843,45214
21229,45213
30518,45211
02860,45199
93720,45191
49201,45190
30067,45182
32162,45180
95403,45164
90027,45151
43207,45144
10028,45141
01902,45139
30157,45123
36695,45118
90620,45113
14120,45100
61265,45099
28173,45097
92111,45096
77040,45081
48235,45063
91306,45061
29485,45057
95843,45048
27707,45023
27106,45015
44102,45014
96822,45007
88101,45006
90057,44998
07060,44998
49423,44977
33415,44963
91606,44958
78741,44935
37040,44924
00728,44908
91790,44907
32725,44905
04401,44899
38128,44863
11772,44837
08021,44833
84010,44821
78254,44817
85283,44813
80123,44795
90043,44789
85037,44771
49424,44760
85207,44744
92544,44734
76017,44724
72034,44723
47130,44722
67212,44707
92705,44706
17701,44661
06082,44654
97405,44645
00784,44637
84041,44625
75074,44622
08817,44621
33612,44601
27405,44567
98133,44555
97123,44537
75062,44537
92867,44515
76549,44490
20783,44487
21921,44471
96003,44461
00674,44457
97504,44444
48224,44439
33319,44420
92104,44414
21502,44400
90503,44383
55337,44356
11420,44354
33321,44327
84074,44310
98391,44309
22304,44300
78641,44295
91320,44274
65802,44270
13760,44264
19403,44260
33810,44254
29229,44229
80526,44183
78041,44153
98003,44151
95610,44147
34744,44142
63026,44124
60010,44095
87031,44075
84321,44074
78758,44072
48205,44045
53704,44034
75080,44009
92506,44001
85719,43989
73013,43933
28205,43931
80538,43930
98105,43924
45014,43917
32818,43911
46226,43904
91733,43896
20110,43876
66502,43850
32738,43830
07307,43812
61554,43810
92688,43792
36116,43790
33155,43788
31061,43755
44691,43753
07960,43747
62040,43735
92122,43728
93446,43714
78233,43710
94116,43698
98042,43673
46350,43650
29464,43649
10021,43631
46360,43625
33196,43620
92223,43605
11374,43600
02703,43593
87112,43584
89502,43566
93313,43553
44212,43548
02909,43540
63116,43540
33162,43539
79109,43516
90242,43497
57701,43462
33615,43453
71913,43436
24502,43426
74133,43414
92584,43400
12601,43398
39401,43366
63368,43360
30134,43356
08360,43355
11520,43341
19144,43329
77396,43317
00662,43282
55125,43281
84062,43269
92102,43267
55112,43250
55104,43248
18104,43236
85029,43233
29501,43220
27606,43210
33055,43194
70816,43194
48183,43182
90501,43180
52001,43173
98387,43173
19131,43172
94928,43170
23669,43148
53081,43129
60201,43125
30034,43113
22015,43102
02740,43087
91789,43079
38016,43079
89131,43072
00623,43061
85746,43057
70301,43037
20774,43013
07601,43010
26003,43002
63033,43000
95136,42989
23234,42989
13440,42986
78640,42954
48843,42931
60707,42920
23608,42917
60540,42910
92078,42906
93010,42901
10019,42870
33324,42847
29651,42844
37918,42835
00685,42831
78744,42820
16801,42812
12603,42810
73072,42797
85224,42796
11756,42791
02135,42780
48310,42766
76119,42761
37066,42758
95307,42753
60660,42752
98118,42731
78043,42713
92802,42709
80022,42699
54956,42696
28546,42696
27613,42690
30076,42678
95336,42675
60188,42656
17543,42626
20772,42625
34668,42619
92019,42598
80127,42597
94560,42573
14609,42571
08234,42532
07726,42508
42240,42479
78526,42460
42301,42440
92058,42436
78541,42431
91360,42402
92395,42400
90806,42399
90241,42399
84003,42384
77581,42383
49009,42362
53204,42355
08724,42352
95822,42347
48111,42313
27616,42294
54703,42272
28210,42263
11365,42252
21043,42246
46032,42234
11743,42230
10465,42230
75028,42226
00969,42219
94546,42209
27604,42204
43232,42201
10304,42193
27615,42166
21221,42154
90025,42147
99205,42137
27529,42128
97501,42117
78704,42117
39759,42108
43204,42104
78040,42083
50613,42031
70560,42022
32708,42012
77055,41989
07036,41970
00659,41953
38134,41948
98058,41938
14075,41937
27703,41937
60103,41928
10040,41905
33436,41896
15237,41895
75220,41891
35758,41875
32907,41870
08054,41864
54915,41855
90275,41804
11228,41788
00698,41782
12065,41776
32712,41769
19401,41753
10305,41749
38111,41742
98661,41740
33433,41722
30097,41715
21044,41704
84121,41702
93036,41691
93455,41684
14150,41676
60047,41669
30506,41667
47201,41662
54935,41651
55117,41649
32164,41616
30909,41585
18042,41570
02149,41550
77901,41548
23451,41544
60089,41533
00602,41520
30039,41517
97330,41472
63017,41470
87123,41468
38118,41465
33617,41443
30252,41428
26554,41369
48307,41369
11003,41356
40324,41342
33179,41332
33020,41329
95831,41321
60564,41312
49221,41310
92040,41281
19139,41271
85711,41251
94521,41249
44203,41248
20170,41236
98226,41235
07304,41233
80016,41219
49442,41214
94121,41203
95380,41201
95678,41192
02895,41186
54115,41178
70506,41163
94901,41157
08902,41153
30458,41139
37087,41132
94066,41130
01085,41117
85338,41115
01970,41109
14450,41104
93706,41087
92236,41083
48038,41057
99362,41056
11367,41047
75050,41041
44870,41030
30736,41029
48188,41025
47401,41011
19082,40997
98801,40977
91913,40971
85042,40962
60652,40959
18974,40953
90059,40952
19805,40937
72712,40933
10475,40931
90007,40920
60636,40916
99504,40914
65803,40902
45231,40893
97080,40888
94566,40884
01453,40883
96786,40859
07202,40849
48060,40831
77060,40830
93311,40829
34741,40828
00754,40828
10801,40827
98223,40815
75044,40811
94134,40798
11040,40782
86001,40776
29073,40775
56560,40766
27513,40755
33461,40748
92009,40747
40216,40746
94010,40737
84081,40732
14701,40730
93726,40705
27909,40699
20120,40695
07032,40684
00777,40684
33014,40654
78748,40651
19136,40647
44109,40646
79925,40641
53218,40625
60615,40603
91016,40598
48706,40596
95991,40593
78258,40586
97702,40583
32746,40571
23803,40542
45324,40529
94025,40526
60565,40524
97401,40521
80239,40512
02128,40508
40356,40503
96782,40496
85086,40495
77705,40475
78582,40455
85382,40454
30019,40447
44118,40438
87109,40432
55379,40416
98034,40407
34997,40405
38116,40404
78213,40396
30152,40393
77388,40384
85051,40375
92054,40375
16001,40371
11205,40366
20852,40365
29210,40356
01420,40337
63304,40336
90605,40331
91387,40328
00676,40316
90804,40311
31313,40302
95132,40299
89032,40297
18702,40295
94531,40290
96701,40281
92374,40267
78216,40267
46514,40263
00769,40248
30606,40225
11704,40222
95757,40222
54220,40220
95628,40196
64118,40191
97305,40176
19460,40154
15108,40153
70003,40150
52402,40149
27530,40117
11580,40113
48911,40111
44105,40089
90278,40071
79915,40057
20747,40054
30701,40053
33160,40053
37343,40042
37660,40038
29150,40031
76542,40025
14215,39999
49504,39994
30165,39975
48170,39963
30605,39952
37043,39945
08094,39940
60062,39936
60107,39927
89104,39909
06106,39902
08857,39898
14224,39889
70058,39887
01040,39880
35401,39878
73034,39872
30294,39865
85205,39858
57106,39852
29203,39843
92308,39837
62704,39831
95621,39819
98092,39816
30519,39812
60446,39807
27292,39787
72701,39782
44111,39778
07666,39776
84020,39765
95404,39761
97230,39752
90815,39733
85379,39732
80010,39728
27893,39723
98837,39722
89148,39712
07011,39710
10301,39706
80126,39698
11370,39688
46383,39687
28306,39683
00739,39678
23602,39676
10455,39665
83605,39649
94403,39642
30815,39640
32835,39633
83704,39628
46237,39624
08820,39590
28105,39586
27105,39568
59101,39562
29687,39561
06484,39559
76210,39556
08401,39554
11801,39553
80501,39521
85323,39507
13021,39506
01915,39502
91367,39499
33178,39489
95209,39488
90045,39480
34221,39457
92545,39457
78537,39454
43615,39441
65201,39417
48047,39415
90604,39407
98204,39380
80401,39378
47909,39373
97233,39367
33169,39353
95407,39352
27320,39351
77375,39351
90802,39347
33009,39341
93534,39341
92127,39337
90031,39316
75051,39285
91401,39285
78415,39271
00983,39234
33610,39222
77057,39208
21220,39199
78209,39197
19701,39194
60193,39188
27519,39178
94117,39169
23225,39169
07712,39158
11357,39150
49508,39148
84770,39131
38115,39129
11421,39127
60101,39119
61201,39116
60025,39105
37620,39102
29621,39101
78230,39089
37920,39087
32935,39082
70056,39082
92555,39076
92231,39073
79762,39056
17403,39042
48212,39038
29526,39033
