Disaster Type,Disaster Subtype,Country,Region,Continent,Start Year,Start Month,Dis Mag Value,Dis Mag Scale,Total Deaths,Total Affected,Severity
Drought,Drought,Cabo Verde,Western Africa,Africa,1900,,,Km2,11000.0,0.0,2
Drought,Drought,India,Southern Asia,Asia,1900,,,Km2,1250000.0,0.0,2
Earthquake,Ground movement,Guatemala,Central America,Americas,1902,4.0,8.0,Richter,2000.0,0.0,2
Volcanic activity,Ash fall,Guatemala,Central America,Americas,1902,4.0,,,1000.0,0.0,1
Volcanic activity,Ash fall,Guatemala,Central America,Americas,1902,10.0,,,6000.0,0.0,1
Mass movement (dry),Rockfall,Canada,Northern America,Americas,1903,4.0,,,76.0,23.0,1
Volcanic activity,Ash fall,Comoros (the),Eastern Africa,Africa,1903,,,,17.0,0.0,0
Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,1904,11.0,,Kph,0.0,0.0,0
Mass movement (dry),Rockfall,Canada,Northern America,Americas,1905,8.0,,,18.0,18.0,0
Earthquake,Ground movement,India,Southern Asia,Asia,1905,4.0,8.0,Richter,20000.0,0.0,2
Earthquake,Ground movement,Chile,South America,Americas,1906,8.0,8.0,Richter,20000.0,0.0,2
Earthquake,Ground movement,Colombia,South America,Americas,1906,1.0,9.0,Richter,400.0,0.0,1
Flood,,Belgium,Western Europe,Europe,1906,5.0,,Km2,6.0,0.0,0
Flood,,Belgium,Western Europe,Europe,1906,4.0,,Km2,0.0,0.0,0
Storm,Tropical cyclone,Hong Kong,Eastern Asia,Asia,1906,9.0,,Kph,10000.0,0.0,2
Earthquake,Ground movement,China,Eastern Asia,Asia,1907,10.0,7.0,Richter,12000.0,0.0,2
Epidemic,Bacterial disease,India,Southern Asia,Asia,1907,,,Vaccinated,1300000.0,0.0,2
Mass movement (dry),Landslide,Canada,Northern America,Americas,1908,4.0,,,33.0,0.0,0
Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,1909,10.0,,Kph,172.0,0.0,1
Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,1909,12.0,,Kph,0.0,0.0,0
Epidemic,Bacterial disease,China,Eastern Asia,Asia,1909,,,Vaccinated,1500000.0,0.0,2
Earthquake,Ground movement,France,Western Europe,Europe,1909,6.0,6.0,Richter,46.0,0.0,0
Storm,Tropical cyclone,Haiti,Caribbean,Americas,1909,11.0,,Kph,150.0,0.0,1
